date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2018-12-30 15:20:25,0,-0.0,-0.003,0.0,-0.0,0.0,0.001,-0.001,-0.001,-0.817,-0.577,0.848,-0.53,BRD,0
2018-12-30 15:22:05,0,0.0,0.0,0.0,-0.0,0.001,0.001,-0.001,-0.001,-0.817,-0.577,0.716,-0.698,BRD,0
2018-12-30 15:24:35,0,0.0,0.0,0.0,-0.0,0.0,0.001,-0.0,-0.0,-0.817,-0.577,0.553,-0.833,BRD,0
2018-12-30 15:25:00,0,0.0,0.003,0.0,-0.0,0.0,0.001,0.0,0.001,-0.817,-0.577,0.461,-0.887,BRD,0
2018-12-30 15:25:50,0,0.0,0.0,-0.0,-0.0,0.0,0.001,0.0,0.0,-0.817,-0.577,0.461,-0.887,BRD,0
2018-12-30 15:27:55,0,0.0,0.0,0.0,0.0,-0.0,0.001,0.001,0.001,-0.817,-0.577,0.263,-0.965,BRD,0
2018-12-30 15:28:20,0,0.0,0.0,0.0,0.0,-0.0,0.001,0.001,0.001,-0.817,-0.577,0.159,-0.987,BRD,0
2018-12-30 15:28:45,0,0.0,0.0,-0.001,0.0,0.002,0.002,0.001,0.002,-0.817,-0.577,0.159,-0.987,BRD,0
2018-12-30 15:30:00,0,0.0,0.003,-0.0,-0.0,0.001,0.002,0.002,0.002,-0.817,-0.577,-0.053,-0.999,BRD,0
2018-12-30 15:30:25,0,0.0,0.0,0.0,0.0,-0.0,0.002,0.002,0.002,-0.817,-0.577,-0.053,-0.999,BRD,0
2018-12-30 15:30:50,0,0.0,0.003,-0.0,-0.0,-0.002,0.001,0.001,0.001,-0.817,-0.577,-0.053,-0.999,BRD,0
2018-12-30 15:31:40,0,0.0,0.003,-0.0,0.002,0.007,0.002,0.002,0.002,-0.817,-0.577,-0.159,-0.987,BRD,0
2018-12-30 15:32:05,0,0.0,0.0,0.0,0.0,-0.0,0.002,0.002,0.002,-0.817,-0.577,-0.263,-0.965,BRD,0
2018-12-30 15:33:20,0,0.003,0.006,0.001,-0.0,0.0,0.002,0.001,0.001,-0.817,-0.577,-0.364,-0.931,BRD,0
2018-12-30 15:33:45,0,0.0,0.0,0.0,-0.0,0.0,0.002,0.001,0.001,-0.817,-0.577,-0.364,-0.931,BRD,0
2018-12-30 15:34:10,0,-0.0,-0.003,0.0,-0.0,0.0,0.002,0.001,0.001,-0.817,-0.577,-0.461,-0.887,BRD,0
2018-12-30 15:35:50,0,0.0,0.0,0.0,0.0,-0.0,0.002,0.001,0.001,-0.817,-0.577,-0.553,-0.833,BRD,0
